date,region,cases
2020-03-19,16 - Montérégie,6
2020-03-19,17 - Nunavik,0
2020-03-19,18 - Terres-Cries-de-la-Baie-James,0
2020-03-20,01 - Bas-Saint-Laurent,0
2020-03-20,02 - Saguenay–Lac-Saint-Jean,0
2020-03-20,03 - Capitale Nationale,0
2020-03-20,04 - Mauricie - Centre du Québec,1
2020-03-20,05 - Estrie,0
2020-03-20,06 - Montréal,3
2020-03-20,07 - Outaouais,0
2020-03-20,08 - Abitibi-Temiscamingue,0
2020-03-20,09 - Côte-Nord,0
2020-03-20,10 - Nord-du-Québec,1
2020-03-20,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-20,12 - Chaudière-Appalaches,0
2020-03-20,13 - Laval,0
2020-03-20,14 - Lanaudière,0
2020-03-20,15 - Laurentides,1
2020-03-20,16 - Montérégie,2
2020-03-20,17 - Nunavik,0
2020-03-20,18 - Terres-Cries-de-la-Baie-James,0
2020-03-21,01 - Bas-Saint-Laurent,0
2020-03-21,02 - Saguenay–Lac-Saint-Jean,1
2020-03-21,03 - Capitale Nationale,3
2020-03-21,04 - Mauricie - Centre du Québec,1
2020-03-21,05 - Estrie,1
2020-03-21,06 - Montréal,10
2020-03-21,07 - Outaouais,2
2020-03-21,08 - Abitibi-Temiscamingue,0
2020-03-21,09 - Côte-Nord,0
2020-03-21,10 - Nord-du-Québec,0
2020-03-21,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-21,12 - Chaudière-Appalaches,7
2020-03-21,13 - Laval,2
2020-03-21,14 - Lanaudière,2
2020-03-21,15 - Laurentides,4
2020-03-21,16 - Montérégie,5
2020-03-21,17 - Nunavik,0
2020-03-21,18 - Terres-Cries-de-la-Baie-James,0
2020-03-22,01 - Bas-Saint-Laurent,0
2020-03-22,02 - Saguenay–Lac-Saint-Jean,0
2020-03-22,03 - Capitale Nationale,0
2020-03-22,04 - Mauricie - Centre du Québec,2
2020-03-22,05 - Estrie,3
2020-03-22,06 - Montréal,5
2020-03-22,07 - Outaouais,2
2020-03-22,08 - Abitibi-Temiscamingue,0
2020-03-22,09 - Côte-Nord,0
2020-03-22,10 - Nord-du-Québec,0
2020-03-22,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-22,12 - Chaudière-Appalaches,0
2020-03-22,13 - Laval,1
2020-03-22,14 - Lanaudière,6
2020-03-22,15 - Laurentides,3
2020-03-22,16 - Montérégie,14
2020-03-22,17 - Nunavik,0
2020-03-22,18 - Terres-Cries-de-la-Baie-James,0
2020-03-23,01 - Bas-Saint-Laurent,2
2020-03-23,02 - Saguenay–Lac-Saint-Jean,0
2020-03-23,03 - Capitale Nationale,20
2020-03-23,04 - Mauricie - Centre du Québec,9
2020-03-23,05 - Estrie,18
2020-03-23,06 - Montréal,219
2020-03-23,07 - Outaouais,3
2020-03-23,08 - Abitibi-Temiscamingue,3
2020-03-23,09 - Côte-Nord,0
2020-03-23,10 - Nord-du-Québec,0
2020-03-23,11 - Gaspésie-Îles-de-la-Madeleine,3
2020-03-23,12 - Chaudière-Appalaches,2
2020-03-23,13 - Laval,17
2020-03-23,14 - Lanaudière,35
2020-03-23,15 - Laurentides,13
2020-03-23,16 - Montérégie,26
2020-03-23,17 - Nunavik,0
2020-03-23,18 - Terres-Cries-de-la-Baie-James,0
2020-03-24,01 - Bas-Saint-Laurent,1
2020-03-24,02 - Saguenay–Lac-Saint-Jean,4
2020-03-24,03 - Capitale Nationale,46
2020-03-24,04 - Mauricie - Centre du Québec,16
2020-03-24,05 - Estrie,82
2020-03-24,06 - Montréal,174
2020-03-24,07 - Outaouais,4
2020-03-24,08 - Abitibi-Temiscamingue,2
2020-03-24,09 - Côte-Nord,1
2020-03-24,10 - Nord-du-Québec,0
2020-03-24,11 - Gaspésie-Îles-de-la-Madeleine,4
2020-03-24,12 - Chaudière-Appalaches,26
2020-03-24,13 - Laval,39
2020-03-24,14 - Lanaudière,5
2020-03-24,15 - Laurentides,14
2020-03-24,16 - Montérégie,59
2020-03-24,17 - Nunavik,0
2020-03-24,18 - Terres-Cries-de-la-Baie-James,0
2020-03-25,01 - Bas-Saint-Laurent,2
2020-03-25,02 - Saguenay–Lac-Saint-Jean,3
2020-03-25,03 - Capitale Nationale,16
2020-03-25,04 - Mauricie - Centre du Québec,3
2020-03-25,05 - Estrie,39
2020-03-25,06 - Montréal,164
2020-03-25,07 - Outaouais,1
2020-03-25,08 - Abitibi-Temiscamingue,0
2020-03-25,09 - Côte-Nord,1
2020-03-25,10 - Nord-du-Québec,0
2020-03-25,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-25,12 - Chaudière-Appalaches,5
2020-03-25,13 - Laval,23
2020-03-25,14 - Lanaudière,13
2020-03-25,15 - Laurentides,6
2020-03-25,16 - Montérégie,23
2020-03-25,17 - Nunavik,0
2020-03-25,18 - Terres-Cries-de-la-Baie-James,0
2020-03-26,01 - Bas-Saint-Laurent,0
2020-03-26,02 - Saguenay–Lac-Saint-Jean,3
2020-03-26,03 - Capitale Nationale,8
2020-03-26,04 - Mauricie - Centre du Québec,14
2020-03-26,05 - Estrie,18
2020-03-26,06 - Montréal,179
2020-03-26,07 - Outaouais,3
2020-03-26,08 - Abitibi-Temiscamingue,6
2020-03-26,09 - Côte-Nord,1
2020-03-26,10 - Nord-du-Québec,0
2020-03-26,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-26,12 - Chaudière-Appalaches,12
2020-03-26,13 - Laval,12
2020-03-26,14 - Lanaudière,4
2020-03-26,15 - Laurentides,11
2020-03-26,16 - Montérégie,19
2020-03-26,17 - Nunavik,0
2020-03-26,18 - Terres-Cries-de-la-Baie-James,0
2020-03-27,01 - Bas-Saint-Laurent,1
2020-03-27,02 - Saguenay–Lac-Saint-Jean,5
2020-03-27,03 - Capitale Nationale,3
2020-03-27,04 - Mauricie - Centre du Québec,20
2020-03-27,05 - Estrie,40
2020-03-27,06 - Montréal,189
2020-03-27,07 - Outaouais,2
2020-03-27,08 - Abitibi-Temiscamingue,7
2020-03-27,09 - Côte-Nord,3
2020-03-27,10 - Nord-du-Québec,0
2020-03-27,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-27,12 - Chaudière-Appalaches,15
2020-03-27,13 - Laval,35
2020-03-27,14 - Lanaudière,25
2020-03-27,15 - Laurentides,20
2020-03-27,16 - Montérégie,26
2020-03-27,17 - Nunavik,0
2020-03-27,18 - Terres-Cries-de-la-Baie-James,1
2020-03-28,01 - Bas-Saint-Laurent,1
2020-03-28,02 - Saguenay–Lac-Saint-Jean,2
2020-03-28,03 - Capitale Nationale,42
2020-03-28,04 - Mauricie - Centre du Québec,16
2020-03-28,05 - Estrie,26
2020-03-28,06 - Montréal,248
2020-03-28,07 - Outaouais,8
2020-03-28,08 - Abitibi-Temiscamingue,6
2020-03-28,09 - Côte-Nord,7
2020-03-28,10 - Nord-du-Québec,0
2020-03-28,11 - Gaspésie-Îles-de-la-Madeleine,2
2020-03-28,12 - Chaudière-Appalaches,7
2020-03-28,13 - Laval,30
2020-03-28,14 - Lanaudière,29
2020-03-28,15 - Laurentides,27
2020-03-28,16 - Montérégie,26
2020-03-28,17 - Nunavik,0
2020-03-28,18 - Terres-Cries-de-la-Baie-James,0
2020-03-29,01 - Bas-Saint-Laurent,0
2020-03-29,02 - Saguenay–Lac-Saint-Jean,0
2020-03-29,03 - Capitale Nationale,16
2020-03-29,04 - Mauricie - Centre du Québec,37
2020-03-29,05 - Estrie,43
2020-03-29,06 - Montréal,142
2020-03-29,07 - Outaouais,2
2020-03-29,08 - Abitibi-Temiscamingue,3
2020-03-29,09 - Côte-Nord,4
