date,region,cases
2020-03-29,02 - Saguenay–Lac-Saint-Jean,18
2020-03-29,03 - Capitale Nationale,164
2020-03-29,04 - Mauricie - Centre du Québec,122
2020-03-29,05 - Estrie,296
2020-03-29,06 - Montréal,1361
2020-03-29,07 - Outaouais,28
2020-03-29,08 - Abitibi-Temiscamingue,27
2020-03-29,09 - Côte-Nord,17
2020-03-29,10 - Nord-du-Québec,1
2020-03-29,11 - Gaspésie-Îles-de-la-Madeleine,9
2020-03-29,12 - Chaudière-Appalaches,86
2020-03-29,13 - Laval,180
2020-03-29,14 - Lanaudière,144
2020-03-29,15 - Laurentides,120
2020-03-29,16 - Montérégie,257
2020-03-29,17 - Nunavik,1
2020-03-29,18 - Terres-Cries-de-la-Baie-James,1
2020-03-30,01 - Bas-Saint-Laurent,11
2020-03-30,02 - Saguenay–Lac-Saint-Jean,24
2020-03-30,03 - Capitale Nationale,174
2020-03-30,04 - Mauricie - Centre du Québec,164
2020-03-30,05 - Estrie,329
2020-03-30,06 - Montréal,1612
2020-03-30,07 - Outaouais,38
2020-03-30,08 - Abitibi-Temiscamingue,28
2020-03-30,09 - Côte-Nord,26
2020-03-30,10 - Nord-du-Québec,1
2020-03-30,11 - Gaspésie-Îles-de-la-Madeleine,13
2020-03-30,12 - Chaudière-Appalaches,95
2020-03-30,13 - Laval,257
2020-03-30,14 - Lanaudière,197
2020-03-30,15 - Laurentides,169
2020-03-30,16 - Montérégie,289
2020-03-30,17 - Nunavik,1
2020-03-30,18 - Terres-Cries-de-la-Baie-James,2
2020-03-31,01 - Bas-Saint-Laurent,13
2020-03-31,02 - Saguenay–Lac-Saint-Jean,31
2020-03-31,03 - Capitale Nationale,213
2020-03-31,04 - Mauricie - Centre du Québec,215
2020-03-31,05 - Estrie,365
2020-03-31,06 - Montréal,1991
2020-03-31,07 - Outaouais,50
2020-03-31,08 - Abitibi-Temiscamingue,34
2020-03-31,09 - Côte-Nord,30
2020-03-31,10 - Nord-du-Québec,1
2020-03-31,11 - Gaspésie-Îles-de-la-Madeleine,37
2020-03-31,12 - Chaudière-Appalaches,117
2020-03-31,13 - Laval,272
2020-03-31,14 - Lanaudière,249
2020-03-31,15 - Laurentides,199
2020-03-31,16 - Montérégie,341
2020-03-31,17 - Nunavik,1
2020-03-31,18 - Terres-Cries-de-la-Baie-James,3
2020-04-01,01 - Bas-Saint-Laurent,18
2020-04-01,02 - Saguenay–Lac-Saint-Jean,32
2020-04-01,03 - Capitale Nationale,247
2020-04-01,04 - Mauricie - Centre du Québec,247
2020-04-01,05 - Estrie,379
2020-04-01,06 - Montréal,2097
2020-04-01,07 - Outaouais,64
2020-04-01,08 - Abitibi-Temiscamingue,41
2020-04-01,09 - Côte-Nord,35
2020-04-01,10 - Nord-du-Québec,1
2020-04-01,11 - Gaspésie-Îles-de-la-Madeleine,37
2020-04-01,12 - Chaudière-Appalaches,130
2020-04-01,13 - Laval,338
2020-04-01,14 - Lanaudière,256
2020-04-01,15 - Laurentides,263
2020-04-01,16 - Montérégie,422
2020-04-01,17 - Nunavik,1
2020-04-01,18 - Terres-Cries-de-la-Baie-James,3
2020-04-02,01 - Bas-Saint-Laurent,19
2020-04-02,02 - Saguenay–Lac-Saint-Jean,32
2020-04-02,03 - Capitale Nationale,270
2020-04-02,04 - Mauricie - Centre du Québec,318
2020-04-02,05 - Estrie,404
2020-04-02,06 - Montréal,2642
2020-04-02,07 - Outaouais,75
2020-04-02,08 - Abitibi-Temiscamingue,47
2020-04-02,09 - Côte-Nord,42
2020-04-02,10 - Nord-du-Québec,1
2020-04-02,11 - Gaspésie-Îles-de-la-Madeleine,38
2020-04-02,12 - Chaudière-Appalaches,133
2020-04-02,13 - Laval,411
2020-04-02,14 - Lanaudière,305
2020-04-02,15 - Laurentides,290
2020-04-02,16 - Montérégie,486
2020-04-02,17 - Nunavik,2
2020-04-02,18 - Terres-Cries-de-la-Baie-James,3
2020-04-03,01 - Bas-Saint-Laurent,24
2020-04-03,02 - Saguenay–Lac-Saint-Jean,44
2020-04-03,03 - Capitale Nationale,280
2020-04-03,04 - Mauricie - Centre du Québec,364
2020-04-03,05 - Estrie,450
2020-04-03,06 - Montréal,2837
2020-04-03,07 - Outaouais,81
2020-04-03,08 - Abitibi-Temiscamingue,58
2020-04-03,09 - Côte-Nord,47
2020-04-03,10 - Nord-du-Québec,2
2020-04-03,11 - Gaspésie-Îles-de-la-Madeleine,41
2020-04-03,12 - Chaudière-Appalaches,136
2020-04-03,13 - Laval,476
2020-04-03,14 - Lanaudière,354
2020-04-03,15 - Laurentides,319
2020-04-03,16 - Montérégie,583
2020-04-03,17 - Nunavik,2
2020-04-03,18 - Terres-Cries-de-la-Baie-James,3
2020-04-04,01 - Bas-Saint-Laurent,27
2020-04-04,02 - Saguenay–Lac-Saint-Jean,50
2020-04-04,03 - Capitale Nationale,321
2020-04-04,04 - Mauricie - Centre du Québec,417
2020-04-04,05 - Estrie,516
2020-04-04,06 - Montréal,3254
2020-04-04,07 - Outaouais,93
2020-04-04,08 - Abitibi-Temiscamingue,67
2020-04-04,09 - Côte-Nord,54
2020-04-04,10 - Nord-du-Québec,2
2020-04-04,11 - Gaspésie-Îles-de-la-Madeleine,47
2020-04-04,12 - Chaudière-Appalaches,156
2020-04-04,13 - Laval,546
2020-04-04,14 - Lanaudière,406
2020-04-04,15 - Laurentides,366
2020-04-04,16 - Montérégie,669
2020-04-04,17 - Nunavik,2
2020-04-04,18 - Terres-Cries-de-la-Baie-James,3
2020-04-05,01 - Bas-Saint-Laurent,27
2020-04-05,02 - Saguenay–Lac-Saint-Jean,79
2020-04-05,03 - Capitale Nationale,345
2020-04-05,04 - Mauricie - Centre du Québec,494
2020-04-05,05 - Estrie,518
2020-04-05,06 - Montréal,3713
2020-04-05,07 - Outaouais,109
2020-04-05,08 - Abitibi-Temiscamingue,83
2020-04-05,09 - Côte-Nord,58
2020-04-05,10 - Nord-du-Québec,2
2020-04-05,11 - Gaspésie-Îles-de-la-Madeleine,54
2020-04-05,12 - Chaudière-Appalaches,156
2020-04-05,13 - Laval,640
2020-04-05,14 - Lanaudière,446
2020-04-05,15 - Laurentides,408
2020-04-05,16 - Montérégie,806
2020-04-05,17 - Nunavik,2
2020-04-05,18 - Terres-Cries-de-la-Baie-James,4
2020-04-06,01 - Bas-Saint-Laurent,29
2020-04-06,02 - Saguenay–Lac-Saint-Jean,93
2020-04-06,03 - Capitale Nationale,357
2020-04-06,04 - Mauricie - Centre du Québec,549
2020-04-06,05 - Estrie,548
2020-04-06,06 - Montréal,3977
2020-04-06,07 - Outaouais,117
2020-04-06,08 - Abitibi-Temiscamingue,101
2020-04-06,09 - Côte-Nord,68
2020-04-06,10 - Nord-du-Québec,2
2020-04-06,11 - Gaspésie-Îles-de-la-Madeleine,62
2020-04-06,12 - Chaudière-Appalaches,158
2020-04-06,13 - Laval,712
2020-04-06,14 - Lanaudière,491
2020-04-06,15 - Laurentides,413
2020-04-06,16 - Montérégie,894
2020-04-06,17 - Nunavik,5
2020-04-06,18 - Terres-Cries-de-la-Baie-James,4
2020-04-07,01 - Bas-Saint-Laurent,30
2020-04-07,02 - Saguenay–Lac-Saint-Jean,103
2020-04-07,03 - Capitale Nationale,375
2020-04-07,04 - Mauricie - Centre du Québec,589
2020-04-07,05 - Estrie,570
2020-04-07,06 - Montréal,4407
2020-04-07,07 - Outaouais,129
2020-04-07,08 - Abitibi-Temiscamingue,108
2020-04-07,09 - Côte-Nord,71
2020-04-07,10 - Nord-du-Québec,2
2020-04-07,11 - Gaspésie-Îles-de-la-Madeleine,66
2020-04-07,12 - Chaudière-Appalaches,181
2020-04-07,13 - Laval,759
2020-04-07,14 - Lanaudière,532
2020-04-07,15 - Laurentides,447
2020-04-07,16 - Montérégie,961
2020-04-07,17 - Nunavik,5
2020-04-07,18 - Terres-Cries-de-la-Baie-James,5
2020-04-08,01 - Bas-Saint-Laurent,33
2020-04-08,02 - Saguenay–Lac-Saint-Jean,118
2020-04-08,03 - Capitale Nationale,392
2020-04-08,04 - Mauricie - Centre du Québec,614
2020-04-08,05 - Estrie,597
2020-04-08,06 - Montréal,4775
2020-04-08,07 - Outaouais,130
2020-04-08,08 - Abitibi-Temiscamingue,111
2020-04-08,09 - Côte-Nord,75
2020-04-08,10 - Nord-du-Québec,2
2020-04-08,11 - Gaspésie-Îles-de-la-Madeleine,75
2020-04-08,12 - Chaudière-Appalaches,195
2020-04-08,13 - Laval,831
2020-04-08,14 - Lanaudière,580
2020-04-08,15 - Laurentides,459
2020-04-08,16 - Montérégie,1034
2020-04-08,17 - Nunavik,5
2020-04-08,18 - Terres-Cries-de-la-Baie-James,5
2020-04-09,01 - Bas-Saint-Laurent,33
2020-04-09,02 - Saguenay–Lac-Saint-Jean,123
2020-04-09,03 - Capitale Nationale,412
2020-04-09,04 - Mauricie - Centre du Québec,648
2020-04-09,05 - Estrie,620
2020-04-09,06 - Montréal,5262
2020-04-09,07 - Outaouais,131
2020-04-09,08 - Abitibi-Temiscamingue,119
2020-04-09,09 - Côte-Nord,81
2020-04-09,10 - Nord-du-Québec,2
2020-04-09,11 - Gaspésie-Îles-de-la-Madeleine,79
2020-04-09,12 - Chaudière-Appalaches,207
2020-04-09,13 - Laval,897
2020-04-09,14 - Lanaudière,664
2020-04-09,15 - Laurentides,516
2020-04-09,16 - Montérégie,1108
